wallet_age_days,avg_tx,recent_tx,tx_frequency,tx_per_min,tx_per_hour,tx_per_day,avg_time_between_tx_sec,wallet,token,source
204,205.0912953414634,58.099175,0.20098039215686275,0.00013900727109740477,0.008340436265844286,0.20017047038026287,431632.0975609756,0x7e93d32ebb61b8b197f10e15e5fb9aacaa3a5ca9,usdt,normal
157,2678263.8773532333,5400000.0,1.2547770700636942,0.000866789806551875,0.0520073883931125,1.2481773214347,69220.93401015228,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,usdt,normal
52,155.0191996923077,164.544548,0.25,0.0001734142599879944,0.010404855599279663,0.24971653438271194,345992.3076923077,0x4a398687555d5fbeadbe2bf6e66242c9ca1148e7,usdt,normal
160,2074.9676315833335,0.0,0.15,0.0001040129045343559,0.006240774272061354,0.1497785825294725,576851.5,0xbb413780aaa483783ab3fd7a456c993248dfd9e9,usdt,normal
665,1939.3762951999997,11.609039,0.007518796992481203,5.213682789111745e-06,0.0003128209673467047,0.007507703216320913,11508180.0,0xff91a56601849afd0bc9899b3c865043b890c9d4,usdt,normal
136,37245.48935738261,0.0,0.8455882352941176,0.0005849452389526733,0.035096714337160405,0.8423211440918497,102573.70434782609,0x5ea1a80e2b80cf9340aa114d8c4a34c6a8c3012e,usdt,normal
20,467.4,1168.5,0.25,0.0001654938667972965,0.009929632007837788,0.23831116818810696,362551.2,0x49a889981c8391fa423be3a25bcf9755d5ccd697,usdt,normal
129,3649.3581447999995,5123.395362,0.03875968992248062,2.6774564592030606e-05,0.0016064738755218362,0.03855537301252407,2240932.8,0xe29449a0be2ac6980cc37c53b6160c3992efd5b8,usdt,normal
172,581.41682928,991.709958,0.14534883720930233,0.00010069730872344813,0.006041838523406888,0.1450041245617653,595845.12,0x475337290850aba12fa6194f99d6295c8b715b71,usdt,normal
1435,119.94778120000001,179.04,0.003484320557491289,2.419634384533813e-06,0.0001451780630720288,0.0034842735137286906,24797134.8,0x10d2e3d5d76154c985ed15241bc885e284c88829,usdt,normal
0,166.667,0.001,6.0,0.006108735491753206,0.3665241295051924,8.796579108124618,9822.0,0xdc7601e36637a5cbd8b9543b1ce96766c46a7559,usdt,normal
2,0.0010000000000000002,0.001,10.0,0.004903883876029816,0.29423303256178895,7.0615927814829345,12235.2,0x7f42807556a03ae3d146dc1a73f737ecd19676ec,usdt,normal
147,33.249113421874995,0.05198,0.43537414965986393,0.00030223921478252,0.0181343528869512,0.43522446928682884,198518.25,0x1b59aef66644aaff30e72a2080aa0d224fe93da6,usdt,normal
802,6899.850363272728,20000.0,0.02743142144638404,1.9035031206203203e-05,0.0011421018723721922,0.027410444936932617,3152083.090909091,0x49454743b0d98010e5fd622dbb6fde4571bd16cb,usdt,normal
137,176.457625,14.35,0.11678832116788321,8.068094719432005e-05,0.004840856831659204,0.11618056395982089,743670.0,0x713ca051ff623eac4f718dc526194409112bb91a,usdt,normal
83,26.7702268,36.086921,0.060240963855421686,4.143902827136265e-05,0.002486341696281759,0.059672200710762215,1447910.4,0x74f5234f3b9254aad76c867b50c412e2680acb6f,usdt,normal
112,45241.09273733334,3049.858171,0.13392857142857142,9.259064933205107e-05,0.005555438959923063,0.1333305350381535,648013.6,0xffab7c543cf79c543b16d4dca49248999f51851b,usdt,normal
7,0.0010000000000000002,0.001,1.7142857142857142,0.0011658182100804414,0.06994909260482648,1.6787782225158356,51466.0,0xcb823b1dde617373f21f428dc72c08d043b1226a,usdt,normal
1753,6932.351344558052,1500.0,0.15231032515687393,0.00010576948299130649,0.006346168979478389,0.15230805550748136,567271.3745318352,0x2c452073377ec65b4b8c7dfa995624d60028cd53,usdt,normal
183,164.08575000000002,140.922,0.17486338797814208,0.00012086280938046479,0.007251768562827888,0.1740424455078693,496430.625,0x951f2d91454c1946539f69a6b97ae402d394d6b4,usdt,normal
1005,6945.189360380951,165.436149,0.020895522388059702,1.4502664277548398e-05,0.0008701598566529039,0.020883836559669692,4137170.8571428573,0x73147f1a2ebcf284b2d0061299bda8608fe0177f,usdt,normal
382,146.63945222222222,90.423138,0.02356020942408377,1.633311422763062e-05,0.000979986853657837,0.023519684487788094,3673518.6666666665,0x43c7d87d4a42635da6a22057a025467f8a5e6b00,usdt,normal
110,16250.248400324786,14999.5002,1.0636363636363637,0.0007374947366828621,0.04424968420097173,1.0619924208233213,81356.51282051283,0x8d671bcf3d886429d8678cb0faa2f607d513c751,usdt,normal
866,8255.79071616,9000.897349,0.028868360277136258,2.004476744909367e-05,0.0012026860469456205,0.028864465126694893,2993299.88,0x3161416e1d5c9f48c666304e63bc3b519332e8e3,usdt,normal
1,1936.2650104,0.001,5.0,0.0018289560318969931,0.1097373619138196,2.63369668593167,32805.6,0x07b4d2afdace66082aa92ac19d21b59d2e52a0cd,usdt,normal
35,34.959894181818186,0.001,0.9428571428571428,0.000646876176138502,0.038812570568310126,0.9315016936394429,92753.45454545454,0x486836ee85b5803f27d54009c219220d88cfc378,usdt,normal
717,2385.1817220000003,8.239627,0.04881450488145049,3.38951338789998e-05,0.0020337080327399878,0.0488089927857597,1770165.6,0x6294371aacbc4b87481ff955a994e37717db6c4d,usdt,normal
1072,2630.7931330588235,0.001,0.03171641791044776,2.2011661260214218e-05,0.0013206996756128533,0.03169679221470848,2725827.882352941,0x7a5b807d5a2a943714aee8f553fbbc85505522ae,usdt,normal
718,2935.2983353053437,1169.0,0.3649025069637883,0.00025340196980377016,0.01520411818822621,0.364898836517429,236777.95419847328,0xd9d42048f56bf9e9335e3d5a9e92d9477fd406f1,usdt,normal
75,130.33555555555554,99.5,0.12,8.30281280847256e-05,0.004981687685083536,0.11956050444200486,722646.6666666666,0x0864669ca47de8e4a73ea14338369578a7579c16,usdt,normal
595,8854.055111477706,3650.0251,0.2638655462184874,0.00018309490566997109,0.010985694340198264,0.26365666416475836,327698.9044585987,0x01df303b2369290d1aec6fe37c1a3cd4a0c962ca,usdt,normal
878,731.897271090909,82.862959,0.025056947608200455,1.7388527223623124e-05,0.0010433116334173877,0.025039479202017302,3450551.0,0x6420e944e915bbfe8d3775ab062cfe778a62e179,usdt,normal
1264,82.16964977914111,15.836799,0.12895569620253164,8.950338770780057e-05,0.005370203262468035,0.12888487829923284,670365.6871165644,0xaf73c267a3159182251039e65bb06f53870413e2,usdt,normal
782,12847977.528931906,100.08,1.2301790281329923,0.0008532825834203469,0.05119695500522081,1.2287269201252995,70316.68191268192,0x742d35cc6634c0532925a3b844bc454e4438f44e,usdt,normal
374,9985.015680971752,1400.0,0.4732620320855615,0.0003284582947039162,0.019707497682234974,0.4729799443736393,182671.59322033898,0xb20e2856629ae216cb8ca2e0830a2ee30fe054d7,usdt,normal
55,307.7164778,125.143573,4.545454545454546,0.003128950299753439,0.1877370179852063,4.505688431644952,19175.76,0x65842f7952c2d227cd596bc96b07cc2b54516fa3,usdt,normal
335,331.20353964000003,192.33456,0.07462686567164178,5.1692473617195314e-05,0.003101548417031719,0.07443716200876126,1160710.56,0x138b3680a5cce0d3026877e316247576e37ee212,usdt,normal
892,597.7647910909092,135.536226,0.01233183856502242,8.554856037651217e-06,0.000513291362259073,0.012318992694217754,7013560.454545454,0xdeb479c3f760831c4cc1999db160e5208251979f,usdt,normal
326,1396.27868878145,0.000459,2.8773006134969323,0.0019977739090727476,0.11986643454436484,2.8767944290647565,30033.428571428572,0x0fe162232d6716ee2dd3faf6270cc19905cb304e,usdt,normal
8,16075.3924356,20113.498049,0.625,0.0004300193652054131,0.025801161912324785,0.6192278858957949,139528.6,0xfaf2037cdbb5d7bb70dc8e368c32bd82ae4c1a11,usdt,normal
49,27.726768000000003,50.002,0.22448979591836735,0.00015452259541770267,0.00927135572506216,0.22251253740149185,388292.7272727273,0xa579945b2060b86fdd1b4b1d7839b0158ea4ac2d,usdt,normal
